column1,column2
1_б,3_б
5_б,7_б
2_б,4_б
6_б,8_б
9_б,11_б
13_б,12_б
17_б,15_б
10_б,16_б
14_б,19_б
18_б,24_ю
22_ю,20_ю
21_ю,23_ю
25_ю,27_ю
26_ю,48_ю
47_ю,31_ю
46_ю,28_ю
40_ю,43_ю
36_ю,39_ю
30_ю,38_ю
34_ю,42_ю
29_ю,44_ю
33_ю,32_ю
37_ю,52_с
41_ю,56_с
45_ю,55_с
35_ю,54_с
49_с,59_о
53_с,63_о
51_с,67_о
50_с,60_о
57_о,64_о
61_о,68_о
65_о,70_f
69_о,71_f
58_о,73_s
62_о,74_s
66_о,
72_s,
"",
