column1
1_б
2_б
3_б
4_б
5_б
6_б
7_б
8_б
9_б
10_б
11_б
12_б
13_б
14_б
15_б
16_б
17_б
18_б
19_б
20_ю
21_ю
22_ю
23_ю
24_ю
25_ю
26_ю
27_ю
28_ю
29_ю
30_ю
31_ю
32_ю
33_ю
34_ю
35_ю
36_ю
37_ю
38_ю
39_ю
40_ю
41_ю
42_ю
43_ю
44_ю
45_ю
46_ю
47_ю
48_ю
49_с
50_с
51_с
52_с
53_с
54_с
55_с
56_с
57_о
58_о
59_о
60_о
61_о
62_о
63_о
64_о
65_о
66_о
67_о
68_о
69_о
70_f
71_f
72_s
73_s
74_s
